Rahul Dravid,01/11/73,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Gajendra Singh,09/10/88,India,Left Hand Batsman,Left arm slow orthodox,,Rajasthan Royals,0,0
Aditya Dole,10/09/87,India,,Right arm medium fast Bowler,,Kolkata KnightRiders,0,0
Andrew Symonds,06/09/75,Australia,Right Hand Batsman,,,Deccan Chargers,0,0
Chris Gayle,09/21/79,West Indies,Left Hand Batsman,Right arm off-break,,Kolkata KnightRiders,0,0
Paidikalva Vijaykumar,10/20/86,India,,Right arm medium,,Deccan Chargers,0,0
Gautam Gambhir,10/14/81,India,Left hand Batsman,,,Delhi DareDevils,0,0
Adam Gilchrist,11/14/71,Australia,Left Hand Batsman,,,Deccan Chargers,0,0
Gnaneswara Rao,08/25/84,India,Right Hand Batsman,Right arm medium,,Deccan Chargers,0,0
Sunil Joshi,06/06/70,India,Left hand batsman,Slow left-arm orthodox,,Royal Challengers Bangalore,0,0
Paul Collingwood,05/26/76,England,Right hand Batsman,Right arm medium,,Delhi DareDevils,0,0
Mohammed Arif,09/30/90,India,Left hand Batsman,Right arm medium,,Rajasthan Royals,0,0
Shatrunjay Gaekwad,09/03/83,India,Left Hand Batsman,,,Kolkata KnightRiders,0,0
Siddharth Trivedi,09/04/82,India,Right Hand Batsman,Right arm medium,,Rajasthan Royals,0,0
Jitendra Patil,09/09/89,India,,Left arm Medium Bowler,,Royal Challengers Bangalore,0,0
Dillon du Preez,11/08/81,South Africa,Right Hand Batsman,Right Arm Bowler,,Royal Challengers Bangalore,0,0
Kevin Pietersen,06/27/80,England,Right hand Batsman,Right arm off-break,,Royal Challengers Bangalore,0,0
Ishank Jaggi,01/27/89,India,,Leg break googly,,Royal Challengers Bangalore,0,0
Sunny Sohal,11/10/87,India,Right Hand Batsman,,,Kings XI Punjab,0,0
Mohammad Sanuth,07/25/89,India,Left Hand Batsman,Right arm off-break,,Kolkata KnightRiders,0,0
Abhishek Nayar,10/08/83,India,Left hand Batsman,Right arm medium,,Mumbai Indians,0,0
Ravichandran Ashwin,09/17/86,India,Right hand Batsman,Right arm off-break,,Chennai SuperKings,0,0
Ajit Agarkar,12/04/77,India,Right Hand Batsman,Right arm fast Medium,,Kolkata KnightRiders,0,0
Amit Mishra,11/24/82,India,Right hand Batsman,Legbreak,,Delhi DareDevils,0,0
Tyron Henderson,08/01/74,South Africa,Right Hand Batsman,Right arm fast Medium,,Rajasthan Royals,0,0
Sourav Sarkar,12/15/84,India,Right Hand Batsman,Right arm medium Bowler,,Kolkata KnightRiders,0,0
Graeme Smith,02/01/81,South Africa,Left Hand Batsman,Right arm off-break,,Rajasthan Royals,0,0
Arindam Ghosh,10/19/86,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Herschelle Gibbs,02/23/74,South Africa,Right Hand Batsman,,,Deccan Chargers,0,0
Rajesh Bishnoi,10/08/87,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Manpreet Gony,01/04/84,India,,Right arm medium Bowler,,Chennai SuperKings,0,0
Laxmi Shukla,05/06/81,India,Right Hand Batsman,Right arm medium,,Kolkata KnightRiders,0,0
Nuwan Zoysa,05/13/78,Sri Lanka,,Left arm fast Medium,,Deccan Chargers,0,0
Mark Cameron,01/31/81,Australia,,Right arm fast Bowler,,Kolkata KnightRiders,0,0
Murtuza Hussain,10/01/86,India,Right Hand Batsman,Right arm medium Bowler,,Kolkata KnightRiders,0,0
Sourav Ganguly,07/08/72,India,Left Hand Batsman,Right arm medium,,Kolkata KnightRiders,0,0
Mohnish Parmar,04/12/88,India,Right Hand Batsman,Right arm off-break,,Kolkata KnightRiders,0,0
Pankaj Singh,03/06/85,India,,Right arm medium-fast Bowler,,Royal Challengers Bangalore,0,0
Arjun Yadav,12/23/81,India,Right hand Batsman,,,Deccan Chargers,0,0
Karan Sharma,10/23/87,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Shaun Tait,02/22/83,Australia,,Right arm fast Bowler,,Rajasthan Royals,0,0
Anustup Majumdar,04/30/84,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Tanmay Srivastava,11/07/89,India,Left Hand Batsman,Left Hand Batsman,,Kings XI Punjab,0,0
Rohan Raje,09/03/86,India,,Right arm fast medium,,Mumbai Indians,0,0
Ashok Dinda,03/25/84,India,Right Hand Batsman,Right arm medium fast,,Kolkata KnightRiders,0,0
Dinesh Salunkhe,11/12/82,India,Right Hand Batsman,Legbreak,,Rajasthan Royals,0,0
Kedar Jadhav,03/26/85,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Sudeep Tyagi,09/19/87,India,,Right arm medium pacer,,Chennai SuperKings,0,0
Irfan Pathan,10/27/84,India,,Left arm Medium fast,,Kings XI Punjab,0,0
Muttiah Muralitharan,04/17/72,Sri Lanka,,Right arm off-break,,Chennai SuperKings,0,0
Mohammad Ashraful,07/07/84,Bangladesh,Right hand Batsman,Legbreak,,Mumbai Indians,0,0
Doddapaneni Kalyankrishna,12/16/83,India,Right hand Batsman,Right arm fast medium,,Deccan Chargers,0,0
Bharat Chipli,01/27/83,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Debabrata Das,09/22/86,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Mithun Manhas,10/12/79,India,Right hand Batsman,,,Delhi DareDevils,0,0
Rajesh Verma,12/11/81,India,,Right arm medium Bowler,,Kolkata KnightRiders,0,0
Chamara Silva,12/14/79,Sri Lanka,Right Hand Batsman,,,Deccan Chargers,0,0
Justin Langer,11/21/70,Australia,Left Hand Batsman,,,Rajasthan Royals,0,0
Raiphi Gomez,10/16/85,India,Right Hand Batsman,Right arm medium Bowler,,Rajasthan Royals,0,0
Paul Valthaty,12/07/83,India,Right Hand Batsman,Right arm medium Bowler,,Rajasthan Royals,0,0
Sanjib Sanyal,07/25/77,India,Right Hand Batsman,Right arm medium,,Kolkata KnightRiders,0,0
Siddharth Chitnis,05/06/87,India,Right Hand Batsman,Right arm off-break,,Rajasthan Royals,0,0
Farveez Maharoof,09/07/84,Sri Lanka,Right Hand Batsman,Right Arm fast medium Bowler,,Delhi DareDevils,0,0
Dirk Nannes,05/16/76,Australia,,Left arm Fast Medium,,Delhi DareDevils,0,0
Rohit Sharma,04/30/87,India,Right Hand Batsman,,,Deccan Chargers,0,0
Tinu Yohannan,02/18/79,India,,Right arm medium fast Pacer,,Royal Challengers Bangalore,0,0
Ryan McLaren,02/09/83,South Africa,Left Hand Batsman,Right arm medium fast,,Mumbai Indians,0,0
Piyush Chawla,12/24/88,India,Left Hand Batsman,Legbreak,,Kings XI Punjab,0,0
Karan Goel,12/24/86,India,Left hand Batsman,Right arm off-break,,Kings XI Punjab,0,0
Jaydev Shah,05/04/83,India,Left Hand Batsman,,,Mumbai Indians,0,0
Ross Taylor,03/08/84,New Zealand,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Ashraf Makda,08/28/78,India,,Left arm medium fast,,Rajasthan Royals,0,0
Tirumalsetti Suman,12/15/83,India,Right hand Batsman,,,Deccan Chargers,0,0
Uday Kaul,12/02/87,India,Left Hand Batsman,,Wicket Keeper,Kings XI Punjab,0,0
K.P. Appanna,12/20/88,India,,Left arm slow Bowler,,Royal Challengers Bangalore,0,0
Jagadeesh Arunkumar,01/18/75,India,Right Hand Batsman,,,Royal Challengers Bangalore,0,0
Dimitri Mascarenhas,10/30/77,England,Right Hand Batsman,Right arm fast medium,,Rajasthan Royals,0,0
Napoleon Einstein,08/16/89,India,Right hand Batsman,,,Chennai SuperKings,0,0
M.S. Dhoni,07/07/81,India,Right hand Batsman,,Wicket-keeper,Chennai SuperKings,0,0
Kumar Sangakkara,10/27/77,Sri Lanka,Left Hand Batsman,,Wicket Keeper,Kings XI Punjab,0,0
Venugopal Rao,02/26/82,India,Right Hand Batsman,,,Deccan Chargers,0,0
Shikhar Dhawan,12/05/85,India,Left hand Batsman,,,Mumbai Indians,0,0
Aditya Angle,11/02/83,India,Right Hand Batsman,Right arm off-break,,Rajasthan Royals,0,0
Wasim Jaffer,02/16/78,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Zaheer Khan,10/07/78,India,,Left Arm fast medium Bowler,,Mumbai Indians,0,0
Yogesh Nagar,01/06/90,India,Right Hand Batsman,Right arm off-break,,Delhi DareDevils,0,0
Yogesh Takawale,11/05/84,India,Right Hand Batsman,,,Mumbai Indians,0,0
Saurasish Lahiri,09/09/81,India,Right Hand Batsman,Right arm off-break,,Kolkata KnightRiders,0,0
Vinay Kumar,02/12/84,India,,Right arm medium Bowler,,Royal Challengers Bangalore,0,0
Dale Steyn,06/27/83,South Africa,Right Hand Batsman,Right Arm Bowler,,Royal Challengers Bangalore,0,0
Kyle Mills,03/15/79,New Zealand,Right hand Batsman,Right arm Fast medium Bowler,,Mumbai Indians,0,0
Dwayne Bravo,10/07/83,West Indies,Right hand Batsman,Right arm medium-fast Bowler,,Mumbai Indians,0,0
Dinesh Karthik,06/01/85,India,Right hand Batsman,,Wicket-keeper,Delhi DareDevils,0,0
Dwaraka Ravi Teja,09/05/87,India,Right hand Batsman,,,Deccan Chargers,0,0
Yuvraj Singh,12/12/81,India,Left Hand Batsman,Slow Left arm orthodox,,Kings XI Punjab,0,0
Ryan Harris,10/11/79,Australia,Right Hand Batsman,Right arm medium,,Deccan Chargers,0,0
Avik Chowdhury,11/16/84,India,Right Hand Batsman,Right arm medium,,Kolkata KnightRiders,0,0
Joginder Sharma,10/23/83,India,Right Hand Batsman,Right arm fast medium,,Chennai SuperKings,0,0
Glenn McGrath,02/09/70,Australia,,Right arm fast medium,,Delhi DareDevils,0,0
Yo Mahesh,12/21/87,India,Right Hand Batsman,Right arm medium fast,,Delhi DareDevils,0,0
Ajinkya Rahane,06/05/88,India,Right Hand Batsman,,,Mumbai Indians,0,0
R.K. Sabharwal,01/08/78,India,Right hand Batsman,,Wicket-keeper,Royal Challengers Bangalore,0,0
Paras Dogra,11/19/84,India,Right Hand Batsman,,,Rajasthan Royals,0,0
Iqbal Abdulla,12/02/89,India,Left Hand Batsman,Left arm orthodox,,Kolkata KnightRiders,0,0
Vikram Singh,09/17/84,India,,Right arm medium fast,,Kings XI Punjab,0,0
Halhadar Das,12/10/86,India,Right hand Batsman,,Wicket-keeper,Deccan Chargers,0,0
Chetanya Nanda,03/29/79,India,Right hand Batsman,legbreak bowler,,Mumbai Indians,0,0
Sheldon Jackson,09/27/86,India,Right Hand Batsman,,Wicket Keeper,Kolkata KnightRiders,0,0
Pradeep Sangwan,11/05/90,India,Right Hand Batsman,Left Hand medium,,Delhi DareDevils,0,0
Lakshmipathy Balaji,09/27/81,India,,Right arm medium-fast Bowler,,Chennai SuperKings,0,0
Angelo Mathews,06/02/87,Sri Lanka,Right Hand Batsman,Right arm medium fast,,Kolkata KnightRiders,0,0
Shane Warne,09/13/69,Australia,Right Hand Batsman,Legbreak googly,,Rajasthan Royals,0,0
Pragyan Ojha,09/05/86,India,,Left arm slow,,Deccan Chargers,0,0
Michael Hussey,05/27/75,Australia,Left Hand Batsman,,,Chennai SuperKings,0,0
David Hussey,07/15/77,Australia,Right Hand Batsman,Right arm off-break,,Kolkata KnightRiders,0,0
Virat Kohli,11/05/88,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Dwayne Smith,04/12/83,West Indies,Right hand Batsman,Right arm medium,,Deccan Chargers,0,0
Pinal Shah,11/03/87,India,Right hand Batsman,,Wicket-keeper,Mumbai Indians,0,0
Sunny Singh,12/18/86,India,Right Hand Batsman,Right arm medium fast,,Kolkata KnightRiders,0,0
Dhiran Salvi,10/10/79,India,Right Hand Batsman,,Wicket Keeper,Kolkata KnightRiders,0,0
Daniel Vettori,01/27/79,New Zealand,Left Hand Batsman,Slow left arm orthodox,,Delhi DareDevils,0,0
Dilhara Fernando,07/19/79,Sri Lanka,,Right Arm fast-medium Bowler,,Mumbai Indians,0,0
Subramaniam Badrinath,08/30/80,India,Right Hand Batsman,,,Chennai SuperKings,0,0
R.P. Singh,12/06/85,India,,Left arm fast Medium,,Deccan Chargers,0,0
Kamran Khan,03/10/91,India,,Left arm fast medium,,Rajasthan Royals,0,0
Mahesh Rawat,10/25/85,India,Right Hand Batsman,,Wicket Keeper,Rajasthan Royals,0,0
David Warner,10/27/86,Australia,Left hand Batsman,,,Delhi DareDevils,0,0
Owais Shah,10/22/78,England,Right Hand Batsman,Right arm off-break,,Delhi DareDevils,0,0
Chaminda Vaas,01/27/74,Sri Lanka,,Left arm fast Medium,,Deccan Chargers,0,0
Roelof van der Merwe,12/31/84,South Africa,Right Hand batsman,Slow left-arm orthodox,,Royal Challengers Bangalore,0,0
Manish Pandey,09/10/89,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Jean Paul Duminy,04/14/84,South Africa,Left hand Batsman,,,Mumbai Indians,0,0
AB de Villiers,02/17/84,South Africa,Right Hand Batsman,,Wicket keeper,Delhi DareDevils,0,0
Ishwar Choudhary,07/10/88,India,,Right arm fast medium Bowler,,Kolkata KnightRiders,0,0
Udit Patel,08/31/84,India,Right hand Batsman,Right arm off-break,,Royal Challengers Bangalore,0,0
Moises Henriques,02/01/87,Australia,Right Hand Batsman,Right arm medium fast,,Kolkata KnightRiders,0,0
Thilan Thushara,03/01/81,Sri Lanka,,Left arm medium fast Bowler,,Chennai SuperKings,0,0
Tejaswi Yadav,11/09/89,India,Right hand Batsman,Right arm Bowler,,Delhi DareDevils,0,0
Matthew Hayden,10/29/71,Australia,Left Hand Batsman,,,Chennai SuperKings,0,0
Vinit Indulkar,08/26/84,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Ameya Shrikhande,07/25/86,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Scott Styris,07/10/75,New Zealand,Right Hand Batsman,Right arm medium,,Deccan Chargers,0,0
Mahela Jayawardene,05/27/77,Sri Lanka,Right Hand Batsman,,,Kings XI Punjab,0,0
Ajantha Mendis,03/11/85,Sri Lanka,,Right arm off-break,,Kolkata KnightRiders,0,0
Devraj Patil,12/06/84,India,Right hand Batsman,,Wicket Keeper,Royal Challengers Bangalore,0,0
Makhaya Ntini,07/06/77,South Africa,,Right arm fast Bowler,,Chennai SuperKings,0,0
Bhavik Thaker,10/23/82,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Srikkanth Anirudha,04/14/87,India,Right hand Batsman,,,Chennai SuperKings,0,0
Parag More,06/08/85,India,Right Hand Batsman,Right arm off-break,,Rajasthan Royals,0,0
Cheteshwar Pujara,01/25/88,India,Right Hand Batsman,Legbreak,,Kolkata KnightRiders,0,0
Atul Sharma,09/05/71,India,,Fast arm Bowler,,Rajasthan Royals,0,0
Anil Kumble,10/17/70,India,,Leg break googly,,Royal Challengers Bangalore,0,0
